Step	Time	I	E
8	0.0	-1.8005	3.9084
8	0.1	-1.8005	3.9084
8	0.2	-1.8005	3.9074
8	0.3	-1.8005	3.9071
8	0.4	-1.8009000000000002	3.9065
8	0.5	-1.8009000000000002	3.9059
8	0.6	-1.8009000000000002	3.9053
8	0.7	-1.8009000000000002	3.9046
8	0.8	-1.8009000000000002	3.904
8	0.9	-1.8009000000000002	3.9037
8	1.0	-1.8009000000000002	3.9034
8	1.1	-1.8009000000000002	3.9028
8	1.2	-1.8009000000000002	3.9028
8	1.3	-1.8009000000000002	3.9022
8	1.4	-1.8009000000000002	3.9015
8	1.5	-1.8009000000000002	3.9012
8	1.6	-1.8009000000000002	3.9009
8	1.7	-1.8009000000000002	3.9006
8	1.8	-1.8009000000000002	3.9003
8	1.9	-1.8009000000000002	3.9
8	2.0	-1.8009000000000002	3.8997
8	2.1	-1.8009000000000002	3.8997
8	2.2	-1.8009000000000002	3.8994
8	2.3	-1.8009000000000002	3.8991
8	2.4	-1.8009000000000002	3.8988
8	2.5	-1.8009000000000002	3.8988
8	2.6	-1.8009000000000002	3.8984
8	2.7	-1.8009000000000002	3.8984
8	2.8	-1.8009000000000002	3.8981
8	2.9	-1.8009000000000002	3.8978
8	3.0	-1.8009000000000002	3.8978
8	3.1	-1.8009000000000002	3.8975
8	3.2	-1.8009000000000002	3.8972
8	3.3	-1.8009000000000002	3.8972
8	3.4	-1.8009000000000002	3.8969
8	3.5	-1.8009000000000002	3.8969
8	3.6	-1.8009000000000002	3.8966
8	3.7	-1.8009000000000002	3.8966
8	3.8	-1.8009000000000002	3.8963
8	3.9	-1.8009000000000002	3.896
8	4.0	-1.8009000000000002	3.896
8	4.1	-1.8009000000000002	3.8957
8	4.2	-1.8009000000000002	3.8957
8	4.3	-1.8009000000000002	3.8953
8	4.4	-1.8009000000000002	3.895
8	4.5	-1.8009000000000002	3.895
8	4.6	-1.8009000000000002	3.895
8	4.7	-1.8009000000000002	3.8947
8	4.8	-1.8009000000000002	3.8947
